NOMBRE;SEXO;ORIGEN;SIGNIFICADO
ALUHE;A;S/O;S/S
ALULA;M;S/O;S/S
ALULAY;F;S/O;S/S
ALUMINE;F;S/O;S/S
ALUN;F;S/O;S/S
ALUNÉ;F;S/O;S/S
ALUNEY;A;S/O;S/S
ALVA;A;S/O;S/S
ALVAND;M;S/O;S/S
ALVAR;M;S/O;S/S
ALVARO;M;GERMANICO;S/S
ALVESIO;M;S/O;S/S
ALVIA;F;S/O;S/S
ALVIN;M;S/O;S/S
ALVIS;M;S/O;S/S
ALVITA;F;S/O;S/S
ALYS;F;S/O;S/S
ALYSA;F;S/O;S/S
ALYSON;F;S/O;S/S
ALYSSA;F;S/O;S/S
ALZENA;F;S/O;S/S
AMABEL;F;S/O;S/S
AMABELIO;M;S/O;S/S
AMABLE;F;S/O;S/S
AMADA;F;S/O;S/S
AMADEO;M;LATINO;"BAJO LATIN ""AMADEUS""EL QUE AMA A DIOS, NOMBRE DEL REY DE ESPAÑA, AMADEO DE SABOYA (1870)."
AMADEUS;M;S/O;S/S
AMADIS;M;LATINO;EL GRAN AMOR, ANTIGUA FORMA FRANCESA DEAMADEO
AMADO;M;LATINO;"EL QUE ES AMADO, DEL LATIN ""AMATUS"", PARTI-CIPIO PASADO DE ""AMO"", CORRESPONDE SEMANTICAMENTE AL HEBREO DAVID, SANAMADO, ABAD DE UN MONASTERIO FRANCES EN EL SIGLO VII"
AMADOR;M;LATINO;S/S
AMAIA;F;S/O;S/S
AMAICHA;F;S/O;S/S
AMAIKE;A;S/O;S/S
AMAL;F;S/O;S/S
AMALI;F;S/O;S/S
AMALIA;F;TEUTON;"LA MUJER DESPREOCUPADA, VARIANTE DE AMELIAHIPOCORISTICO DE ""AMELBERGA"""
AMALIO;M;TEUTON;S/S
AMALTEA;F;S/O;S/S
AMAMBAY;F;S/O;S/S
AMAN;M;S/O;S/S
AMANA;F;S/O;S/S
AMANCAI;F;S/O;S/S
AMANCAY;F;S/O;S/S
AMANCIO;M;LATINO;"DEL LATIN ""AMANTIUS"" EL QUE AMA A DIOS, EN-TRE LOS SANTOS, UN OBISPO DE COMOS EN EL SIGLO V."
AMANDA;F;LATINO;"DEL LATIN ""AMANDA"" QUE DEBE SER AMADA.GENEROFEMENINO"
AMANDINE;F;S/O;S/S
AMANDIO;M;S/O;S/S
AMANDO;M;S/O;S/S
AMANI;A;S/O;S/S
AMANKAYA;A;S/O;S/S
AMANTZE;F;S/O;S/S
AMAPOLA;F;S/O;S/S
AMARA;F;S/O;S/S
AMARANDE;F;S/O;S/S
AMARANTA;F;S/O;S/S
AMARANTE;F;S/O;S/S
AMARANTO;M;S/O;S/S
AMARILIS;F;LATINO;"DEL LATIN ""AMARYLLIS"", NOMBRE DE LA PASTORA EN LOS IDILIOS DE TEOCRITO Y EGLOGAS DE VIRGILIO"
AMARINO;M;S/O;S/S
AMARIRE;F;S/O;S/S
AMARIS;F;S/O;S/S
AMARO;M;LATINO;VARIANTE PORTUGUESA DE MAURO
AMARU;A;S/O;S/S
AMARYLLIS;F;S/O;S/S
AMATA;F;S/O;S/S
AMATISTA;F;LATINO;S/S
AMAURI;M;S/O;S/S
AMAURY;F;S/O;S/S
AMAUTA;F;S/O;S/S
AMAYA;F;S/O;S/S
AMBAR;F;S/O;S/S
AMBAY;A;S/O;S/S
AMBER;F;S/O;S/S
AMBICO;M;S/O;S/S
AMBIKA;F;S/O;S/S
AMBROSIA;F;S/O;S/S
AMBROSIO;M;GRIEGO;EL INMORTAL, NOMBRE DEL SANTO PATRONO YOBISPO DE MILAN, UNO DE LOS MAS FAMOSOS PADRES DE LA IGLESIA
AMEDEO;M;S/O;S/S
AMEERAH;F;S/O;S/S
AMEGHINO;M;S/O;S/S
AMEL;M;S/O;S/S
AMELBERGA;F;S/O;S/S
AMELI;F;S/O;S/S
AMELIA;F;GRIEGO;DESPREOCUPADA, TRABAJADORA, ENERGICA, ACTIVAVARIACION DE AMALIA.
AMELIDA;F;S/O;S/S
AMELIE;F;S/O;S/S
AMELIN;F;S/O;S/S
AMELINA;F;S/O;S/S
